autor,titlu,text
Marin Sorescu,Bărbații,"Mircea cel Bătrân îmbrăcat în zale.
Alexandra cel Bun îmbrăcat în zale.
Ștefan cel Mare îmbrăcat în zale
Mihai Viteazul îmbrăcat în zale.
Ion Vodă cel Cumplit îmbrăcat în zale.
Și aici, în Oltenia, Tudor Vladimirescu
Primenit și el cu zale
Peste cămașa morții.

Mie-mi vine să mă așez pe genunchii lor
Și să-i trag de mustăți
Și să-i întreb, de ce sunt toți
Îmbrăcați în zale?
Și unde tot pleacă în fiecare dimineață
Și de ce nu mai stau pe-acasă,
Să se bărbierească mai des,
Că, uite, bărbile lor
Mă zgârie
Când mi-alint de ele sufletul.

Aș vrea să merg și eu cu voi, le zic,
Să văd măcar lupta de la Rovine,
Dar mă împingeți blând la o parte
Și mă lăsați în grija femeilor.
Și cum caii voștri și-au tocit pe drumuri
Până și șeile frumoase cu ciucuri,
Luați din prima biserică zidită de voi
Biblia legată în piele

Și-o puneți pe ei cu literele în ios,
Să se umple de sudoarea și de sângele
Acestor locuri.

De multe ori vă întoarceți victorioși,
Și eu mă joc cu steagurile năvălitorilor,
Făcând din ele corăbioare
Și dându-le drumul pe apa Dunării.

De multe ori nu vă mai întâlnesc
Și-atunci mă mir cum poate să nu se mai întoarcă
Un om care are nevastă și munți și copii?

Brâncovene Constantine,
De ce-ți taie turcii capul
De cinci ori la rând, .
O dată pentru fiecare copil al tău
Și odată pentru tine?

Sultanul are în palat
Un coș de hârtii pentru capetele domnilor români
Care niciodată nu se nimeresc supuse.
Dar, uite, trunchiul de pe care a fost retezată
Mândria ta de ghiaur
A rămas în picioare,
Ca un stâlp de pridvor românesc înstrăinat
La Istanbul.

Dar ce tot răsfoiesc eu cartea asta cu poze?
Mai bine mă uit în sus,
Fiindcă cerul nostru e zugrăvit,
Ca Voronețul,
Cu toată istoria românilor.
Deasupra Posadei e lupta de la Posada.
Deasupra Podului Înalt
E lupta de le Podul Înalt.
Deasupra Călugărenilor
E lupta de la Călugăreni.

Sunt bătălii pe toți pereții,
Și în firide și ocnițe,
Pe stele e chipul încruntat al bărbaților de demult.

Iar sus, în turla neagră,
Stă Decebal pe nori de otravă,
Bând otravă,
Și otrava prelingându-se de pe mustățile lui."
Marin Sorescu,Bărboși mereu,"Lăsăm barba să ne acopere
Cu înțelepciunea ei
Și trecem gravi pe stradă,
Părând într-adevăr înțelepți
De la noi și până la toate
Lucrurile.

Dar, de sub iarba care ne ascunde,
Noi știm
Că cele mai multe noduri
În care ne-am frânt dinții și mintea
Au rămas nedezlegate...

Ci numai barba noastră virilă
Nu-și pierde speranța.
Ea crește până la pământ,
Acolo, ca vița-de-vie, se prinde
Și se întoarce din nou în sus,
Pe copiii noștri,
Într-o încăpățânare istorică."
Marin Sorescu,Barca,"Cel mai greu se cară o barcă
Peste muntele Ararat.
Este munca la care m-am înhămat.
Barcă-n loc de arcă.
Iar potopul - demult a secat.

Vâslele îmi intră în crăpături,
Se îndoaie și se frâng,
Înaintarea este numai hurducături.
Praful intră pe mai multe guri.
Stau lângă cârmă și plâng.

Lacrimile mele, pâraie,
Umflă văile cu bolboroși.
De ce m-ai ursit, Doamne, să țin loc de ploaie?
Nu mai deosebești păcătoșii de credincioși?
Pe valuri de jale barca saltă, greoaie.

După patruzeci de zile, istovit,
Aș da drumul  la porumbel.
Am și-o ramură de măslin și-un inel.
Porumbelul sub barcă a-mpietrit.
Este stânca de care m-am izbit!"
Marin Sorescu,Bătrâni la umbră,"Obosești repede, uiți ușor,
Începi să vorbești singur,
Miști din buze...
Te surprinzi în oglindă mișcând din buze,

Știu cam cum o să fie când voi fi bătrân.
În fiecare vară am o zi, două, o săptămână
De bătrânețe.
Zbârcit, uscat ca un sâmbure de piersică în miezul zilei
Zemoase.

Un Ulise care uită de la mână până la gură,
Unde trebuia să se-ntoarcă,
De ce rătăcește pe mare
Și dacă e înainte sau după războiul Troiei.
Un Ulise cu puține șanse de-a săruta fumul ieșind de pe hornurile
Patriei.

Eziți între a-ți potrivi cravata
Sau a te strânge cu ea de gât.
40 de grade la umbră! Intru în casă
Si cu un ultim efort de memorie îmi aduc aminte
Cum mă cheamă.
Căldura toridă seamănă foarte mult cu bătrânețea.
Aceleași senzații.

Iei covoarele-n picioare
Te-mpiedici în papuci -
Îți coace o unghie,
Parcă ți se mișcă un dinte.

Vara ne simțim toți solidari:
Toți suntem bâtrâni,
Pân-la fătul din pântecul mamei."
Marin Sorescu,Bizadeaua,"Ce-mi stați ca niște bizadele aci-n drum, cu mâinile-n
Șolduri?
Bă, bizadea! Bizadeaua dracului! Bă, puță!

De obicei copiii erau bizadele,
Noi care îi încurcam pe cei mai mari,
Ședeam în picioarele oamenilor.
„Să pună mâna să lucreze - auzeam -
Să pună turul la tânjală, că aici e de tras!
Da' cine cred ei că sunt, să nu facă nimic?

Asta o spunea Cătălina lui Ioane la ai ei.
Avea vreo 15, un pluton întreg,
Și i se părea că mănâncă mult.
Ce să mănânce, că rar apucau să se sature.
-        Bă, gămane!
Altul era marda. „Marda dată ninciu!""
Și dacă unul nu lua lingura repede din strachină
I se părea că e moale, nu e nimic de capul lui.
-        Ce te linciurești aci?"
Marin Sorescu,Blestemul doi,"S-a umplut casă de fum
Eu ard, nu te speria,
Eu am luat foc,
Bine că ești aici lângă mine,
Să mă vezi,
Că tu până nu vezi nu crezi,
Nu mai vreau să ard nici eu pe înfundate,
Mi-am dat drumul.
Ai spus că dacă nu te iubesc
Nu ard și uite proba,
Eu voiam să o țin ascunsă.
Sărută aceste făpturi de fum
Care ies din mine, toate sunt eu,
Seamănă cu mine, sunt chiar eu,
Care năpârlesc,
Înainte de a mă îngropa în brațele tale,
În buzele tale.
Un șarpe care-și leapădă cămășile multicolore,
Înainte de marea hibernare.

Tot tu îmi vei da zemuri de plante,
De smochine strivite că să înviez,
Voi suge lapte din sânul tău
Să mă dezintoxic
De pământul care s-a vărsat în vinele mele,
Și s-a cerut arat,
Sunt și pruncul și tatăl și sfântul duh,
Dar mai la urmă,
Când ne mai vine suflarea
Acum suntem amândoi cu sufletul la gură
Și îl bem unul de pe buzele altuia,
Îl sorbim,
Iată o idee de perpetuum mobile,
Fumul meu te îmbracă
Fumul tău mă despoaie
Am luat foc amândoi,
Ți-am spus să stai mai departe.
Cine-o stinge aceste cuvinte,
Să fie blestemat."
Marin Sorescu,Boala epigonilor,"Epigonii au o boală.
Un exces de zel
al neștiinței cu care ne scriu.

Nu e greu pentru veșnicii îndrăgostiți
de lipsa tehnicii scriitoricești
să ne-alunge din cuvintele lor.
Nu e greu pentru cei care nu-și cunosc viața
nici creierul
nici pentru ce anume muncesc
în general.

Nu e greu să golești
ulcica goală a cuvântului
fără vreun sens."
Marin Sorescu,Boala râsului,"S-a născut dintr-un hohot de râs.

Când părinții au trebuit să îi arate lumea
El a început să râdă în fața fiecărui lucru,
Până la soare.
Și a fiecărui cuvânt,
Până la infinit.

La șapte ani încă nu se oprise din râs
Și doctorii l-au trimis la școală.
Profesorii i-au arătat cartea de fizică
Dar el râdea ținându-se cu mâinile de burtă.
La istorie ajunsese cu mâinile la genunchi.
La geografie, la tălpi.

Atunci doctorii i-au recomandat trei femei
Demne de acest nume,
De care să se-ndrăgostească,
Dragostea intrând în profilaxia liniștii.
Cum să vă spun?
Pe prima a iubit-o-n hohote,
Pe a doua a zâmbit-o,
Cu a treia s-a-necat de râs.

Atunci doctorii i-au prescris moartea,
S-o ia o dată în viață
Și după aceea câte o linguriță
Din trei în trei veșnicii.

Dar și în mormânt
El tot mai continuă, și azi, să râdă.

Până acum a fost mutat în vreo
Șapte cimitire
La cererile repetate
Ale răposaților."
Marin Sorescu,Bobîrnacul,"Nimeni nu poate să-și dea seama
Ce efect poate avea acest
Bobîrnac,
Nimeni nici măcar dumnezeu nu poate
Să-și dea seama,
Care a renunțat de mult la forțele obscure,
El lucrînd cu forțele supranaturale
Și cu puterile înzecite.

Să zicem că împing scama asta
Dîndu-i un bobîrnac la moacă.
Ea se prăbușește și se izbește de talpa de înger
Care tocmai trece prin aer
Îngerul răstoarnă un avion
Și căderea lui trage cerul
Ca pe o prelată.

Ecoul se amplifică, se amplifică
Stelele încep să țipe
Simțind cerul frigîndu-le de sub tălpi
Și totul se amplifică
Și totul se ridică la pătrat
La cel mai mare pătrat posibil -
Sub ochii noștri.

Stau și eu așadar și desăvîrșesc
Mici acțiuni, după puterile mele
Fac bobîrnace - ca s-o spun pe șleau -
Bobîrnace pentru zilele negre de repaus
Pentru zilele negre de moarte
Cînd nu se va mai mișca nimic
Și orice putere colosală va fi de prisos
Și doar un bobîrnac venit din urmă
Mai poate declanșa fericit
Mașinăria."
Marin Sorescu,Bocca di leone,"Leul stă cu gura căscată
Și așteaptă ori, să-mi bag capul,
Ori să-i dau o poezie.

Nu le mai dau poezii,
Dobitoacelor astea sinistre,
Cu inima de piatră,
Că le-nghit pe nerăsuflate,
Pe nemestecate.
Mai bine îmi vâr capul?

Dar, oare o fi bine?
Mai bine o poezie, decât să-mi vâr capul...
Mai bine o poezie.

Lumea trece și furișează câte-o scrisoare
Se uită în jur
Dacă n-a observat cineva,
Ca ucigașul când dă otrava.

Fățiș, eu stau îndelung
Și-i vâr în gură poezii,
Una după alta,
Părerile mele contra mea...

Apoi contemplu de la distanță
Puntea suspinelor
Și canalul, pe unde va trece
Inevitabila galeră."
Marin Sorescu,Ca pastelul,"Călcăm
Pe-un cîmp magnetic amîndoi,
Ca pe un covor cu povești
Care se mută după noi.

Aici totul e altfel
Decât afară,
Copacii au pene în rădăcini,
Păsările ne au pe noi în gând
Cînd zboară."
Marin Sorescu,Ca un far care nu vrea sa se stinga,"m-am obișnuit să dorm cu ochii deschiși
de spaima să nu fiu luat prin surprindere
să am controlul meu asupra lumii
până în ultimul moment

ca un far care nu vrea să se stingă ziua
ține orizontul mării mereu
în magia unei priviri disperate

te rog să-mi închizi ușor pleoapele atunci
ce-a fost de văzut am văzut
să tragi cu grijă aceste obloane fine
peste ochii mei obosiți

sper să fie cât mai târziu
cândva într-o noapte cu multe stele
și cu salcâmi înfloriți"
Marin Sorescu,Câini,"Părăsiți pe gânduri, câini dezmoșteniți,
Scrutează cerul și așteaptă-n van.
Stăpânii i-au uitat, proptind grăbiți,
Pe ușa-nchisă câte-un bolovan.

Ei nu au lotci și delta e ocean.
Înoată printre sloiuri, istoviți.
Adulmecă mirosuri vechi de-un an,
De foame și de valuri hăituiți.

Ei înșiși parcă-s plaiuri care latră.
Până când limba li se face piatră
Și Dunărea-i depune, lin, în mare.

Dar câte unul biruie-n vâltoare:
Ajunge-acasă istovit - și moare
Cu ochii la stăpân, întins pe vatră."
Marin Sorescu,Calatorul,"Apele peste care am trecut
Mi-au dat ca amintire un mic licăr sub piele.
Nu mai pot pași sprinten,cu avânt,
Decât dacă am talpa plină de bătături,
Dacă-mi e toată ca un teren mlăștinos,
În care te scufunzi imperceptibil.

Somnul nu-mi mai vine decât stând chircit,
Undeva pe geamantan,lângă o ușa de vagon
Supraaglomerat,
Trezit din moțăiala de fiecare călător care urcă sau
Coboară.
Între aceste pauze am cele mai frumoase vise,
Toate întrerupte brusc,din păcate.

Ah,somnul în pat străîn,neutru,
De hotel de mâna a treia!
Cazi trăsnit pe dormeza slinoasă,jilavă,ușor înclinată.
În camera e un aer de pușcărie,geamul e prins în cuie.
Și-ar fi imprudent să-l deschizi că sar cerșetorii.

Pe la miezul nopții,te trezește durerea
În coaste,pricinuită de arcuri,
Bâjbâi și nu știi de unde se aprinde lumina.
Unde ești?În ce oraș?
Te crezi tot în tren și-aștepți conductorul
""spuneți-mi,vă rog,ce stație urmează?""

Uneori e adevărat,ești chiar în accelerat!
În vagonul lit.Ai vrut să-ți faci damblaua.
Pe geam nu recunoști nimic,
Peisajul poate fi la fel de bine
Elvețian,ori italian,dacă nu chiar din lună.
Copacii se schimbă din secundă-n secundă,
Ca niște sentinele de garda
La un mort grăbit,
Ori ca telegramele primite într-o bătălie
Ca rezultat nesigur.
Tu ești comandantul,tu le primești,le deschizi,
Tot statul major se uită în gura ta,așteaptă ordinele,
Dar telegramele sunt cifrate
Și-ai uitat cifrul frunzelor.

Nu mă simt bine decât
Buimac,incomod,
Stând într-un picior pe-o bătătură
Agățat de-o bară,spânzurat de-un pervaz,
Pe-o scară de serviciu,
Trebuind să dau fugă până la mama dracului,
Cărând patru geamantae mari,pline cu lucruri nefolositoare,
Renunțând din cauza lor la singurul obiect
Important:umbrela(peste tot când ești călător,plouă de rupe).

Nu mă simt bine decât rău,
șchiopătând,
Încercănat
Azvârlit în stradă de propria-mi neliniște...

Mereu pe drumuri,împins ca de-un șut în rărunchi,
Cu ochii holbați,ca în preajma minunii."
Marin Sorescu,Călăul cu șapte mâini și victima cu șapte capete,"Călăul trebuia să omoare timpul.
Acesta stătea cu capul pe butuc
Și, așteptând să i se facă seama,
Își omora și el timpul
(Iertați-mi gluma nepotrivită)
Uitându-se la călău, cum își ascute barda
Și, ca să fiu și mai explicit,
Omorându-l la rândul său,
Puțin câte puțin.

Căci chiar în timp ce călăul
Își ascuțea barda, ca să omoare timpul,
Timpul trecea (deși cu capul pe butuc),
Îmbătrânindu-l, clipă de clipă, pe călău,
Făcându-i barda să ruginească
Și înfuriindu-l s-o ascută și mai tare,
Făcându-l să piardă și mai mult sânge,
Vreau să spun timp,
făcând să putrezească fibra butucului,
Slăbindu-i cercurile- ale dracului
mai sunt și cercurile butucului!-
Dar tot cedează și ele
La un moment dat.

Așa încât, atunci când călăul a ridicat barda
Și-a izbit cu sete,
Alături s-au rostogolit două capete:
Al victimei și al călăului,
Care, alături, în praf, s-au întâlnit o clipă,
Bizar, și s-au pupat pe gură,-
Sărut din care s-a și născut - ciudat -
O victimă și un călău,
Gata și la locul lor, în punctul final
Cum s-ar zice.

Victima cu capul pe butuc, bineînțeles.
Și, călăul ascuțindu-și barda."
Marin Sorescu,Calul alb fara splina,"Viteza se fugărește pe sine,
Rămâne pe loc un cal alb.
El aleargă totuși din răsputeri
Căci calul alb nu are splină.

Dar viteza ea însăși nu are splină
Și luând-o înaintea tuturor alergătorilor
Aceștia în același timp fug și stau pe loc.

Sunt câmp pentru viteză maximă
Teren de antrenament
Mă ajunge săgeata, mă străpunge,
Aleargă mai departe,
Fug după ea, o prind,
Alerg un timp cu ea în mâna,
Îi dau drumul, o întrec,
Mă ajunge din urmă,
Mă străpunge...
Și iar o arunc...
Sunt arcul și totodată ținta.

Și-un cal alături paște iarbă verde
Un cal alb, alb."
Marin Sorescu,Cam unde?,"Barbarii cam unde-or să-ncapă,
Când totul în matcă s-o-ntoarce?
Acel ce te frânge, te stoarce,
Acel ce te vinde, te sapă?

Vor fi mielușei, vor vrea cinuri
Și vina vor da-o pe vremi.
Tu poți cât mai groaznic să gemi,
Sub talpa blindată cu chinuri.

Așa cum răsare brândușa,
Sunt inși pentru oricare dată.
Călăul doar scoate mănușa
Și mâna ți-o-ntinde, curată.

Dar, noaptea, în visu-i urât,
El tot te-ar mai strânge de gât."
Marin Sorescu,Capriciu,"În fiecare seară
strâng de prin vecini
toate scaunele disponibile
și le citesc versuri.

Scaunele sunt foarte receptive
la poezie,
dacă știi cum să le așezi.

De aceea
eu mă emoționez,
și timp de câteva ore
le povestesc
ce frumos a murit sufletul meu
peste zi.

Întâlnirile noastre
sunt de obicei sobre,
fără entuziasme de prisos.

În orice caz,
înseamnă că fiecare
ne-am făcut datoria,
și putem merge mai departe."
Marin Sorescu,Cartea morții,"Semnează distrat
În cartea morții.
Cartea vieții a fost
Ridicată discret adineauri,
Și arsă cu flacără mică
În fața casei.

Cine a vrut să se uite
S-a uitat descoperindu-și capul.

Sângele s-a întins puțin pe pagină,
Îngerul îndoliat pune sugativa."
